OBJECTID,NAME,CITY,STATE,ZIP_CODE,STREET,LAT,LON,FID,x,y
1,Apple Boise Towne Square,Boise,ID,83704,350 N Milwaukee St,43.60851857,-116.2778751,1,-116.2778751,43.60851857
2,Apple Station Park,Farmington,UT,84025,148 E Promontory,40.98335037,-111.9063732,2,-111.9063732,40.98335037
3,Apple Fashion Place,Murray,UT,84107,6191 S State St,40.63644444,-111.8875139,3,-111.8875139,40.63644444
4,Apple City Creek Center,Salt Lake City,UT,84101,50 S Main St,40.76845594,-111.8914172,4,-111.8914172,40.76845594
5,Apple Pioneer Place,Portland,OR,97204,450 SW Yamhill St,45.51796676,-122.6774849,5,-122.6774849,45.51796676
6,Apple Bridgeport Village,Tigard,OR,97224,7293 SW Bridgeport Rd,45.39688832,-122.7517323,6,-122.7517323,45.39688832
7,Apple Washington Square,Tigard,OR,97223,9585 SW Washington Square Rd,45.45036045,-122.7812879,7,-122.7812879,45.45036045
8,Apple Summerlin,Las Vegas,NV,89135,1985 Festival Plaza Dr,36.1501753,-115.3338546,8,-115.3338546,36.1501753
9,Apple The Forum Shops,Las Vegas,NV,89109,3500 Las Vegas Blvd S,36.11738339,-115.1767739,9,-115.1767739,36.11738339
10,Apple Fashion Show,Las Vegas,NV,89109,3200 Las Vegas Blvd S,36.12784713,-115.1726007,10,-115.1726007,36.12784713
11,Apple Towne Square,Las Vegas,NV,89119,6671 Las Vegas Blvd S,36.06787948,-115.1761457,11,-115.1761457,36.06787948
12,Apple Summit Sierra,Reno,NV,89511,13945 S Virginia St,39.40328235,-119.752154,12,-119.752154,39.40328235
13,Apple Belevue Square,Bellevue,WA,98004,213 Bellevue Square,47.61644703,-122.2043516,13,-122.2043516,47.61644703
14,Apple Alderwood,Lynnwood,WA,98037,3000 184th St SW,47.83040521,-122.2716779,14,-122.2716779,47.83040521
15,Apple University Village,Seattle,WA,98105,2651 NE 49th St,47.66400031,-122.29862,15,-122.29862,47.66400031
16,Apple River Park Square,Spokane,WA,99201,710 W Main Ave,47.65945079,-117.4225862,16,-117.4225862,47.65945079
17,Apple Tacoma Mall,Tacoma,WA,98409,4502 S Steele St,47.21621408,-122.4695598,17,-122.4695598,47.21621408
18,Apple Southcenter,Tukwila,WA,98188,801 Southcenter Mall,47.45894818,-122.2580869,18,-122.2580869,47.45894818
19,Apple Chandler Fashion Center,Chandler,AZ,85226,3111 W Chandler Blvd,33.30238139,-111.8996798,19,-111.8996798,33.30238139
20,Apple SanTan Village,Gilbert,AZ,85295,2218 E Williams Field Rd,33.30893367,-111.7428959,20,-111.7428959,33.30893367
21,Apple Arrowhead,Glendale,AZ,85308,7700 W Arrowhead Towne Center,33.64228662,-112.2255273,21,-112.2255273,33.64228662
22,Apple Scottsdale Fashion Square,Scottsdale,AZ,85251,7014 E Camelback Rd,33.50361217,-111.9264951,22,-111.9264951,33.50361217
23,Apple Scottsdale Quarter,Scottsdale,AZ,85254,15169 N Scottsdale Rd,33.62424985,-111.9251197,23,-111.9251197,33.62424985
24,Apple La Encantada,Tucson,AZ,85718,2905 E Skyline Dr,32.32575444,-110.9297705,24,-110.9297705,32.32575444